Price,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,EEM,GLD,HYG,IWM,QQQ,SPY,TLT,USO,UUP,EEM,GLD,HYG,IWM,QQQ,SPY,TLT,USO,UUP,EEM,GLD,HYG,IWM,QQQ,SPY,TLT,USO,UUP,EEM,GLD,HYG,IWM,QQQ,SPY,TLT,USO,UUP,EEM,GLD,HYG,IWM,QQQ,SPY,TLT,USO,UUP
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-15,65.06999969482422,417.2900085449219,79.05532836914062,277.6000061035156,708.9299926757812,739.1699829101562,83.33222961425781,148.22999572753906,27.770000457763672,65.47000122070312,419.25,79.28416037414807,280.3299865722656,715.1300048828125,743.4600219726562,83.64101262408087,148.41000366210938,27.770000457763672,64.72000122070312,414.1199951171875,79.05532836914062,277.239990234375,705.5499877929688,737.9600219726562,83.26249657384297,145.1699981689453,27.709999084472656,65.2300033569336,417.6400146484375,79.23441197593867,280.29998779296875,710.1400146484375,741.7899780273438,83.54140593699309,145.5500030517578,27.719999313354492,34830900,9360400,54466000,35408000,51792700,60410800,50796000,5588300,1851100
2026-05-18,64.97000122070312,418.42999267578125,79.13492584228516,275.9700012207031,705.8800048828125,738.6500244140625,83.23261260986328,149.2899932861328,27.700000762939453,65.76000213623047,420.92999267578125,79.29410705976333,279.0799865722656,712.0700073242188,741.4199829101562,83.59120275127269,154.0800018310547,27.729999542236328,64.37999725341797,416.05999755859375,79.03543663254378,273.94000244140625,698.8499755859375,733.3900146484375,82.99355504875795,144.9600067138672,27.670000076293945,65.66000366210938,419.82000732421875,79.22446385389036,278.739990234375,711.5399780273438,739.8300170898438,83.37206348713329,145.91000366210938,27.68000030517578,37739800,5628300,38596100,27243300,49834500,47843900,26166200,10817300,2992100
2026-05-19,64.26000213623047,411.5,78.94589233398438,273.0,701.530029296875,733.72998046875,82.69473266601562,152.9600067138672,27.790000915527344,64.8499984741211,414.4700012207031,79.04538154536856,275.0799865722656,706.489990234375,737.6500244140625,82.90391659475004,153.5,27.809999465942383,63.47999954223633,409.8800048828125,78.82650831653946,270.6300048828125,695.25,731.530029296875,82.44571214081147,150.22000122070312,27.760000228881836,63.619998931884766,412.45001220703125,79.0055919332471,273.80999755859375,699.8099975585938,734.780029296875,82.6349701718077,152.8800048828125,27.790000915527344,37009400,5419400,42904700,30276900,46827500,54255900,35346600,5514800,1914800
2026-05-20,65.45999908447266,417.3999938964844,79.45329284667969,279.8699951171875,713.1500244140625,741.25,83.58125305175781,144.27000427246094,27.729999542236328,65.55999755859375,417.989990234375,79.46324404443749,280.0899963378906,713.1500244140625,741.8699951171875,83.67089679341773,150.5399932861328,27.81999969482422,64.4000015258789,410.0799865722656,78.99563642683897,273.4100036621094,703.7899780273438,733.8900146484375,82.71465888486192,141.9600067138672,27.670000076293945,64.48999786376953,412.1400146484375,79.09512563279742,274.9100036621094,705.2899780273438,735.7100219726562,82.73457718317411,149.4499969482422,27.790000915527344,32484700,6005000,58906300,31562000,36779200,45768000,44498000,11573800,2509300
2026-05-21,66.02999877929688,416.989990234375,79.49309539794922,282.489990234375,714.510009765625,742.719970703125,83.89002990722656,142.5399932861328,27.729999542236328,66.3499984741211,418.4200134277344,79.58263341217676,283.67999267578125,717.1199951171875,744.8699951171875,83.92987410042612,150.25999450683594,27.829999923706055,65.05000305175781,411.95001220703125,79.24436857104108,277.1499938964844,706.77001953125,737.030029296875,83.00351750716895,140.22999572753906,27.709999084472656,65.2300033569336,413.1400146484375,79.34385778369627,278.6600036621094,708.989990234375,738.6400146484375,83.29238220823869,149.27000427246094,27.799999237060547,28726400,4679900,37584600,31680500,36415400,43332200,24887000,10203800,1832400
2026-05-22,65.87999725341797,413.82000732421875,79.50304412841797,285.1199951171875,717.5399780273438,745.6400146484375,84.34822845458984,140.9199981689453,27.770000457763672,66.38999938964844,415.67999267578125,79.61247694556336,286.6099853515625,722.1199951171875,748.9400024414062,84.34822845458984,143.77999877929688,27.81999969482422,65.73999786376953,412.0,79.43339333212705,283.6700134277344,715.9500122070312,744.47998046875,83.81034323465079,138.7100067138672,27.75,66.0,415.1700134277344,79.60253333798478,284.1000061035156,718.0700073242188,746.239990234375,84.2785030149405,141.42999267578125,27.760000228881836,30851000,5528400,22429400,23849300,33118600,41762000,27987700,7541300,2021800
2026-05-26,68.4000015258789,414.0,79.77166748046875,290.510009765625,730.280029296875,750.5900268554688,84.7665786743164,137.0,27.75,68.5,415.9800109863281,79.78161867880293,290.54998779296875,731.1699829101562,752.1300048828125,85.04548042495743,138.6999969482422,27.780000686645508,67.69000244140625,411.5,79.63238106595145,287.739990234375,724.1599731445312,748.3699951171875,84.56736530943074,135.94000244140625,27.729999542236328,67.72000122070312,415.1600036621094,79.73187027767234,288.3900146484375,725.9600219726562,750.010009765625,85.00563623207975,136.33999633789062,27.75,25457000,5098400,30406100,24506500,34254700,41123600,22531200,7574200,1929200
2026-05-27,68.38999938964844,408.489990234375,79.72191619873047,290.3699951171875,729.4500122070312,750.4600219726562,84.96580505371094,131.02999877929688,27.75,68.95999908447266,409.25,79.80151060144729,291.7200012207031,733.3200073242188,751.3800048828125,85.14510013333589,133.5800018310547,27.790000915527344,67.94000244140625,404.29998779296875,79.67217538993746,289.30999755859375,725.4400024414062,748.219970703125,84.81639122077293,129.63999938964844,27.709999084472656,68.76000213623047,404.3399963378906,79.76171340008888,291.1600036621094,732.9600219726562,750.8800048828125,84.91599790956386,131.38999938964844,27.719999313354492,31991500,6624600,22523800,24519900,35148700,42106300,23589600,8423300,2693300
